"SECONDS";"PID";"VALUE";"UNITS";"LATITUDE";"LONGTITUDE";
"41458.125809";"Average speed (GPS)";"0.000840112906835005";"mph";"39.3561967";"-94.2313404";
"41458.125809";"Speed (GPS)";"0";"mph";"39.3561967";"-94.2313404";
"41458.130809";"Altitude (GPS)";"864.694064647029";"feet";"39.3561967";"-94.2313404";
"41458.131809";"Altitude (GPS)";"864.694064647029";"feet";"39.3561967";"-94.2313404";
"41458.131809";"Average speed (GPS)";"0.000834923960688141";"mph";"39.3561967";"-94.2313404";
"41458.131809";"Speed (GPS)";"0";"mph";"39.3561967";"-94.2313404";
"41458.135809";"Altitude (GPS)";"878.608911950684";"feet";"39.3561967";"-94.2313404";
"41458.138809";"Altitude (GPS)";"878.608911950684";"feet";"39.3561967";"-94.2313404";
"41458.138809";"Average speed (GPS)";"0.00082924469742713";"mph";"39.3561967";"-94.2313404";
"41458.138809";"Speed (GPS)";"0";"mph";"39.3561967";"-94.2313404";
"41459.102809";"Altitude (GPS)";"864.697550425752";"feet";"39.3561967";"-94.2313404";
"41459.102809";"Average speed (GPS)";"0.126766440738592";"mph";"39.3561967";"-94.2313404";
"41459.102809";"Speed (GPS)";"0.264140131963989";"mph";"39.3561967";"-94.2313404";
"41459.103809";"Altitude (GPS)";"864.697550425752";"feet";"39.3561967";"-94.2313404";
"41459.103809";"Average speed (GPS)";"0.126806782052798";"mph";"39.3561967";"-94.2313404";
"41459.103809";"Speed (GPS)";"0.264140131963989";"mph";"39.3561967";"-94.2313404";
"41459.113809";"Altitude (GPS)";"878.608911950684";"feet";"39.356182";"-94.2313731";
"41459.113809";"Altitude (GPS)";"878.608911950684";"feet";"39.356182";"-94.2313731";
"41459.113809";"Average speed (GPS)";"0.126163924179741";"mph";"39.356182";"-94.2313731";
"41459.113809";"Average speed (GPS)";"0.126152281466785";"mph";"39.356182";"-94.2313731";
"41459.113809";"Speed (GPS)";"0";"mph";"39.356182";"-94.2313731";
"41459.113809";"Speed (GPS)";"0";"mph";"39.356182";"-94.2313731";
"41459.441809";"Altitude (GPS)";"883.731419765625";"feet";"39.35621668";"-94.23124926";
"41459.442809";"Altitude (GPS)";"883.731419765625";"feet";"39.35621668";"-94.23124926";
"41459.442809";"Altitude (GPS)";"883.731419765625";"feet";"39.35621668";"-94.23124926";
"41459.442809";"Average speed (GPS)";"0.108559892429752";"mph";"39.35621668";"-94.23124926";
"41459.442809";"Average speed (GPS)";"0.108536062854751";"mph";"39.35621668";"-94.23124926";
"41459.442809";"Speed (GPS)";"0";"mph";"39.35621668";"-94.23124926";
"41459.442809";"Speed (GPS)";"0";"mph";"39.35621668";"-94.23124926";
"41459.456809";"Altitude (GPS)";"864.957502289492";"feet";"39.35621668";"-94.23124926";
"41459.456809";"Average speed (GPS)";"0.116810620766305";"mph";"39.35621668";"-94.23124926";
"41459.456809";"Average speed (GPS)";"0.117004247904961";"mph";"39.35621668";"-94.23124926";
"41459.456809";"Speed (GPS)";"1.50719018881033";"mph";"39.35621668";"-94.23124926";
"41459.456809";"Speed (GPS)";"1.50719018881033";"mph";"39.35621668";"-94.23124926";
"41459.457809";"Altitude (GPS)";"864.957502289492";"feet";"39.35621668";"-94.23124926";
"41460.050809";"Altitude (GPS)";"878.280807926025";"feet";"39.3561968";"-94.2314357";
"41460.052809";"Altitude (GPS)";"878.280807926025";"feet";"39.3561968";"-94.2314357";
"41460.052809";"Altitude (GPS)";"878.280807926025";"feet";"39.3561968";"-94.2314357";
"41460.052809";"Average speed (GPS)";"0.0935148177884985";"mph";"39.3561968";"-94.2314357";
"41460.052809";"Average speed (GPS)";"0.0935097714696041";"mph";"39.3561968";"-94.2314357";
"41460.052809";"Speed (GPS)";"0";"mph";"39.3561968";"-94.2314357";
"41460.052809";"Speed (GPS)";"0";"mph";"39.3561968";"-94.2314357";
"41460.441809";"Altitude (GPS)";"876.719785695801";"feet";"39.3562151";"-94.23126273";
"41460.443809";"Altitude (GPS)";"876.719785695801";"feet";"39.3562151";"-94.23126273";
"41460.443809";"Average speed (GPS)";"0.0826030223067941";"mph";"39.3562151";"-94.23126273";
"41460.443809";"Speed (GPS)";"0";"mph";"39.3562151";"-94.23126273";
"41460.444809";"Altitude (GPS)";"876.719785695801";"feet";"39.3562151";"-94.23126273";
"41460.444809";"Average speed (GPS)";"0.0825961813320974";"mph";"39.3562151";"-94.23126273";
"41460.444809";"Speed (GPS)";"0";"mph";"39.3562151";"-94.23126273";
"41460.448809";"Altitude (GPS)";"864.943450775106";"feet";"39.3562151";"-94.23126273";
"41460.448809";"Average speed (GPS)";"0.0848036075151761";"mph";"39.3562151";"-94.23126273";
"41460.448809";"Speed (GPS)";"1.86901787561268";"mph";"39.3562151";"-94.23126273";
"41461.067809";"Altitude (GPS)";"878.608911950684";"feet";"39.35619";"-94.2313401";
"41461.068809";"Altitude (GPS)";"878.608911950684";"feet";"39.35619";"-94.2313401";
"41461.068809";"Altitude (GPS)";"878.608911950684";"feet";"39.35619";"-94.2313401";
"41461.068809";"Average speed (GPS)";"0.0716008004213351";"mph";"39.35619";"-94.2313401";
"41461.068809";"Average speed (GPS)";"0.0715984082139196";"mph";"39.35619";"-94.2313401";
"41461.068809";"Speed (GPS)";"0";"mph";"39.35619";"-94.2313401";
"41461.068809";"Speed (GPS)";"0";"mph";"39.35619";"-94.2313401";
"41461.438809";"Altitude (GPS)";"862.464031274414";"feet";"39.35621454";"-94.23127142";
"41461.439809";"Altitude (GPS)";"862.464031274414";"feet";"39.35621454";"-94.23127142";
"41461.439809";"Average speed (GPS)";"0.0654927685248656";"mph";"39.35621454";"-94.23127142";
"41461.439809";"Speed (GPS)";"0";"mph";"39.35621454";"-94.23127142";
"41462.057809";"Altitude (GPS)";"878.280807926025";"feet";"39.3562258";"-94.2313548";
"41462.058809";"Altitude (GPS)";"878.280807926025";"feet";"39.3562258";"-94.2313548";
"41462.058809";"Altitude (GPS)";"878.280807926025";"feet";"39.3562258";"-94.2313548";
"41462.058809";"Average speed (GPS)";"0.057336405730438";"mph";"39.3562258";"-94.2313548";
"41462.058809";"Average speed (GPS)";"0.057330777601143";"mph";"39.3562258";"-94.2313548";
"41462.058809";"Speed (GPS)";"0";"mph";"39.3562258";"-94.2313548";
"41462.058809";"Speed (GPS)";"0";"mph";"39.3562258";"-94.2313548";
"41462.060809";"Altitude (GPS)";"861.08550008179";"feet";"39.3562258";"-94.2313548";
"41462.060809";"Average speed (GPS)";"0.0574592775753818";"mph";"39.3562258";"-94.2313548";
"41462.060809";"Speed (GPS)";"0.577260598102978";"mph";"39.3562258";"-94.2313548";
"41462.221809";"Vehicle speed";"0";"mph";"39.3562258";"-94.2313548";
"41462.423809";"Altitude (GPS)";"853.203027348633";"feet";"39.35622122";"-94.23127771";
"41462.425809";"Altitude (GPS)";"853.203027348633";"feet";"39.35622122";"-94.23127771";
"41462.425809";"Average speed (GPS)";"0.0535242501245273";"mph";"39.35622122";"-94.23127771";
"41462.425809";"Speed (GPS)";"0";"mph";"39.35622122";"-94.23127771";
"41462.426809";"Altitude (GPS)";"853.203027348633";"feet";"39.35622122";"-94.23127771";
"41462.426809";"Average speed (GPS)";"0.0535205305678517";"mph";"39.35622122";"-94.23127771";
"41462.426809";"Speed (GPS)";"0";"mph";"39.35622122";"-94.23127771";
"41462.439809";"Altitude (GPS)";"860.826663662627";"feet";"39.35622122";"-94.23127771";
"41462.439809";"Average speed (GPS)";"0.0555333588973006";"mph";"39.35622122";"-94.23127771";
"41462.439809";"Speed (GPS)";"0.826894514310676";"mph";"39.35622122";"-94.23127771";
"41462.616809";"Distance travelled";"0";"miles";"39.35622122";"-94.23127771";
"41462.616809";"Distance travelled (total)";"0";"miles";"39.35622122";"-94.23127771";
"41462.616809";"Vehicle speed";"0";"mph";"39.35622122";"-94.23127771";
"41463.087809";"Altitude (GPS)";"877.952804024658";"feet";"39.3562119";"-94.2313082";
"41463.088809";"Altitude (GPS)";"877.952804024658";"feet";"39.3562119";"-94.2313082";
"41463.088809";"Average speed (GPS)";"0.0495293686422045";"mph";"39.3562119";"-94.2313082";
"41463.088809";"Speed (GPS)";"0";"mph";"39.3562119";"-94.2313082";
"41463.092809";"Altitude (GPS)";"877.952804024658";"feet";"39.3562119";"-94.2313082";
"41463.092809";"Average speed (GPS)";"0.0494965109050596";"mph";"39.3562119";"-94.2313082";
"41463.092809";"Speed (GPS)";"0";"mph";"39.3562119";"-94.2313082";
"41463.212809";"Average speed";"0";"mph";"39.3562119";"-94.2313082";
"41463.212809";"Distance travelled";"0";"miles";"39.3562119";"-94.2313082";
"41463.212809";"Distance travelled (total)";"0";"miles";"39.3562119";"-94.2313082";
"41463.212809";"Vehicle speed";"0";"mph";"39.3562119";"-94.2313082";
"41463.458809";"Altitude (GPS)";"842.451387866211";"feet";"39.35621927";"-94.23128559";
"41463.460809";"Altitude (GPS)";"842.451387866211";"feet";"39.35621927";"-94.23128559";
"41463.460809";"Average speed (GPS)";"0.0466421263372139";"mph";"39.35621927";"-94.23128559";
"41463.460809";"Speed (GPS)";"0";"mph";"39.35621927";"-94.23128559";
"41463.627809";"Average speed";"0";"mph";"39.35621927";"-94.23128559";
"41463.627809";"Distance travelled";"0";"miles";"39.35621927";"-94.23128559";
"41463.627809";"Distance travelled (total)";"0";"miles";"39.35621927";"-94.23128559";
"41463.627809";"Vehicle speed";"0";"mph";"39.35621927";"-94.23128559";
"41464.016809";"Altitude (GPS)";"878.608911950684";"feet";"39.3561788";"-94.2313607";
"41464.019809";"Altitude (GPS)";"878.608911950684";"feet";"39.3561788";"-94.2313607";
"41464.019809";"Average speed (GPS)";"0.0428772932600969";"mph";"39.3561788";"-94.2313607";
"41464.019809";"Speed (GPS)";"0";"mph";"39.3561788";"-94.2313607";
"41464.020809";"Altitude (GPS)";"878.608911950684";"feet";"39.3561788";"-94.2313607";
"41464.020809";"Average speed (GPS)";"0.0428757285267482";"mph";"39.3561788";"-94.2313607";
"41464.020809";"Speed (GPS)";"0";"mph";"39.3561788";"-94.2313607";
"41464.093809";"Average speed";"0";"mph";"39.3561788";"-94.2313607";
"41464.093809";"Distance travelled";"0";"miles";"39.3561788";"-94.2313607";
"41464.093809";"Distance travelled (total)";"0";"miles";"39.3561788";"-94.2313607";
"41464.093809";"Vehicle acceleration";"0";"m/s²";"39.3561788";"-94.2313607";
