BlueDriver Data Log
Dec 14, 2022 3:12:39 PM
Time (s),Engine RPM (rpm),Engine Coolant Temperature (°F),Calculated Engine Load Value (%),Vehicle Speed (MPH),Mass Air Flow Rate (lb/min),Absolute Throttle Position (%),Intake Air Temperature (°F)
0.0,,,,,,,
0.7,,120,20.8,,,,
1.4,,120,20.8,0,1.3,,
2.1,,120,20.8,0,0.4,0.0,43
2.8,822,120,20.8,0,0.8,0.0,43
3.5,836,121,20.6,0,1.1,0.0,43
4.2,851,122,19.9,0,1.3,0.0,43
4.9,864,122,19.7,0,1.0,0.0,43
5.6,842,122,19.5,0,1.2,0.0,43
6.3,848,122,19.2,0,1.3,0.0,43
7.0,854,122,19.0,0,1.0,0.0,43
7.7,850,122,18.8,0,1.2,0.0,43
8.4,855,123,21.4,0,1.3,0.0,43
9.1,860,123,21.4,0,0.5,0.0,43
9.8,864,123,21.5,0,0.5,0.0,43
10.5,869,123,21.5,0,0.6,0.0,43
11.2,874,124,21.6,0,0.6,0.0,43
11.9,874,124,21.6,0,0.7,0.0,43
12.6,861,123,21.4,0,0.7,0.0,43
13.3,864,123,21.4,0,0.7,0.0,43
14.0,867,123,21.5,0,0.8,0.0,43
14.7,870,123,21.5,0,0.8,0.0,43
15.4,873,124,21.5,0,0.9,0.0,43
16.1,874,124,21.6,0,0.9,0.0,43
16.8,862,123,21.7,0,1.0,0.0,43
17.5,864,123,22.8,0,1.0,0.0,43
18.2,867,123,22.9,1,1.0,0.0,43
18.9,869,123,23.0,1,1.1,0.0,43
19.6,871,123,23.1,1,1.1,0.0,43
20.3,874,123,23.2,1,1.2,0.0,43
21.0,869,123,23.3,1,1.2,0.0,43
21.7,832,123,23.3,1,1.3,0.0,43
22.4,833,123,23.4,1,1.3,0.0,43
23.1,834,124,23.2,1,1.3,0.0,43
23.8,834,124,9.9,1,1.4,0.0,43
24.5,835,124,9.6,0,1.2,0.2,43
25.2,837,124,9.2,0,1.2,2.4,44
25.9,852,125,8.9,0,1.3,2.4,44
26.6,853,125,8.6,0,1.3,2.5,44
27.3,854,125,8.3,0,1.3,2.6,44
28.0,855,125,7.9,1,1.4,2.6,44
28.7,857,125,7.6,5,1.2,2.7,44
29.4,858,125,7.3,5,1.2,2.8,45
30.1,859,125,6.9,5,1.3,2.9,45
30.8,860,126,6.6,5,1.3,2.9,45
31.5,980,126,6.3,6,1.3,3.0,45
32.2,1294,125,16.2,6,1.4,3.1,45
32.9,1306,125,16.1,12,1.9,2.9,45
33.6,1280,126,16.0,13,2.2,0.7,43
34.3,939,126,15.9,13,2.2,0.7,43
35.0,942,127,15.8,13,2.3,0.8,43
35.7,945,127,15.7,14,2.3,0.8,43
36.4,948,127,15.5,14,2.3,0.8,43
37.1,950,127,15.4,19,2.4,1.0,43
37.8,942,127,15.3,19,2.3,4.7,44
38.5,803,127,14.4,19,2.3,4.8,44
39.2,803,127,6.0,3,2.3,4.9,45
39.9,803,127,5.8,3,1.1,5.0,45
40.6,802,127,5.5,4,1.1,5.1,45
41.3,802,127,5.2,4,1.1,5.2,45
42.0,802,127,5.0,4,1.2,5.3,45
42.7,803,128,4.9,4,1.2,5.4,45
43.4,802,129,15.5,4,1.2,5.5,45
44.1,802,129,15.4,8,1.9,6.4,45
44.8,1377,129,15.4,9,3.8,10.6,43
45.5,1643,129,15.8,9,3.9,10.8,43
46.2,1656,129,20.4,10,4.1,11.0,43
46.9,1670,129,20.4,13,5.1,12.7,43
47.6,1723,129,20.4,13,5.2,17.2,43
48.3,1887,129,27.2,13,5.2,17.4,43
49.0,1903,129,51.0,17,5.5,18.1,43
49.7,1920,129,51.4,17,6.2,21.2,43
50.4,1920,129,51.3,17,6.3,21.5,43
51.1,1888,129,28.6,17,6.4,21.8,43
51.8,1904,129,28.8,17,6.2,21.8,43
52.5,1919,129,28.9,17,2.8,17.9,43
53.2,1920,129,29.0,17,2.9,18.1,43
53.9,1852,129,29.0,17,2.9,18.3,43
54.6,1866,129,28.5,20,3.0,18.6,43
55.3,1880,129,28.6,20,3.0,18.8,43
56.0,1894,129,28.7,21,3.0,19.1,43
56.7,1908,129,28.8,21,3.1,16.7,43
57.4,1920,129,28.9,21,3.1,0.0,43
58.1,1879,129,29.0,22,3.2,0.0,43
58.8,1893,129,29.0,22,3.2,0.0,43
59.5,1906,129,28.8,19,2.8,0.0,43
60.2,1919,129,28.9,19,1.1,0.0,43
60.9,1653,130,29.0,19,1.1,0.0,43
61.6,886,134,26.1,19,1.1,0.0,43
62.3,886,134,15.4,19,1.1,0.0,43
63.0,889,135,15.3,20,1.1,0.0,43
63.7,909,135,14.4,20,1.2,0.0,43
64.4,911,134,4.7,21,1.2,0.0,43
65.1,912,134,4.5,23,1.1,0.0,43
65.8,913,135,4.4,23,1.1,0.0,45
66.5,915,136,4.3,24,1.1,0.0,45
67.2,916,136,4.6,23,1.1,0.0,45
67.9,917,136,4.4,23,1.1,0.0,45
68.6,914,137,4.6,24,1.1,0.0,45
69.3,915,138,9.6,23,1.1,0.0,45
70.0,916,138,9.5,21,1.0,0.0,45
70.7,917,138,9.4,22,1.0,0.0,45
71.4,892,139,9.3,22,1.1,0.0,44
72.1,893,139,9.1,22,1.1,0.0,44
72.8,894,139,9.0,22,1.1,0.0,45
73.5,894,139,9.0,22,1.1,0.0,45
74.2,895,139,9.5,21,1.1,0.0,45
74.9,896,139,9.4,21,1.0,0.0,45
75.6,897,140,9.3,21,1.1,0.0,45
76.3,898,140,9.2,21,1.1,0.0,45
77.0,895,140,9.1,22,1.1,0.0,45
77.7,856,140,5.2,22,1.1,0.0,45
78.4,857,139,15.5,21,1.1,0.0,45
79.1,857,139,15.5,21,1.1,0.0,45
79.8,857,140,15.4,21,1.1,0.0,45
80.5,858,140,15.4,21,1.1,0.0,45
81.2,861,140,15.3,22,1.2,0.0,45
81.9,898,140,15.1,22,1.2,0.0,45
82.6,898,139,12.8,22,1.2,0.0,45
83.3,899,139,12.8,22,1.2,0.0,45
84.0,900,140,12.7,22,1.2,0.0,45
84.7,900,140,12.6,22,1.2,0.1,45
85.4,919,140,12.5,22,1.2,1.2,45
86.1,1208,140,12.1,22,1.2,1.2,45
86.8,1212,142,8.4,22,1.4,1.3,45
87.5,1215,142,8.3,22,5.2,15.1,44
88.2,1309,142,8.7,22,5.3,15.2,43
88.9,1768,141,22.3,23,5.3,15.4,43
89.6,1776,141,22.4,25,5.4,15.5,43
90.3,1784,141,22.4,25,5.4,15.6,43
91.0,1791,142,22.4,25,5.5,15.9,43
91.7,1800,142,22.4,25,5.5,18.9,43
92.4,1887,142,24.3,25,5.5,19.0,43
93.1,1896,142,57.8,25,5.7,19.2,43
93.8,1904,142,58.1,23,7.4,19.7,43
94.5,1932,142,58.4,24,7.4,21.3,43
95.2,2026,143,58.3,24,7.5,21.5,43
95.9,2036,143,57.6,26,7.5,21.6,43
96.6,2044,144,57.8,26,7.4,21.2,43
97.3,2018,144,56.4,26,7.4,21.4,43
98.0,2027,142,26.1,27,7.5,21.5,43
